23,198750617.85
29,77141554.31
9,77789218.99
15,89133683.92
3,57586735.07
32,166819246.16
26,143416393.79
12,144287230.15
35,131520672.08
6,223756130.64
43,90565435.41
21,108117878.92
27,253855916.88
38,55159626.42
7,81598275.14
44,43293087.84
1,222402808.85
24,194016021.28
18,155114734.21
30,62716885.12
10,271617713.89
41,181341934.89
4,299543953.38
19,206634862.10
25,101061179.17
36,53412214.97
13,286517703.80
42,79565752.43
5,45475688.90
22,147075648.57
33,37160221.96
39,207445542.47
16,74252425.40
45,112395341.42
2,275382440.98
17,127782138.83
31,199613905.50
34,138249763.00
40,137870309.79
11,193962786.80
20,301397792.46
28,189263680.58
14,288999911.34
37,74202740.32
8,129951181.13
